Fiscal_Year,Query_Run,Customer,SubCustomer,AnnualSubCustomerVendorRank,ContractorDisplayName,ParentID,JointVenture,SumOfobligatedAmount,SumOfnumberOfActions,WarningFlag
2000,59:34.8,State and IAP,State,55,ABACUS TECHNOLOGY^,ABACUS TECHNOLOGY,0,1262000,3,0
2000,59:34.8,State and IAP,State,0,499252609^!,499252609,NULL,1250000,1,1
2000,59:34.8,State and IAP,State,0,999079270^!,999079270,NULL,1249000,2,1
2000,59:34.8,State and IAP,State,56,BAE Systems,BAE SYSTEMS,0,1248000,10,0
2000,59:34.8,State and IAP,State,57,CASYSTEMS INTERNATIONAL^,CASYSTEMS INTERNATIONAL,0,1224000,7,0
2000,59:34.8,State and IAP,USAID,52,RIGGS &^,RIGGS &,0,1219000,4,0
2000,59:34.8,State and IAP,USAID,0,75256081^!,75256081,NULL,1216000,2,1
2000,59:34.8,State and IAP,State,58,KPMG^,KPMG,0,1202000,4,0
2000,59:34.8,State and IAP,State,0,49214112^!,49214112,NULL,1174000,11,1
2000,59:34.8,State and IAP,State,59,PRICEWATERHOUSECOOPERS^,PRICEWATERHOUSECOOPERS,0,1169000,9,0
2000,59:34.8,State and IAP,State,0,785668146^!,785668146,NULL,1156000,7,1
2000,59:34.8,State and IAP,USAID,0,89191860^!,89191860,NULL,1154000,4,1
2000,59:34.8,State and IAP,State,60,Contrack International,CONTRACK INTERNATIONAL,0,1152000,1,0
2000,59:34.8,State and IAP,USAID,53,COMMUNITY CONSULTING INTERNATI^,COMMUNITY CONSULTING INTERNATI,0,1085709,8,0
2000,59:34.8,State and IAP,USAID,54,NATHAN ASSOCIATES^,NATHAN ASSOCIATES,0,1083000,7,0
2000,59:34.8,State and IAP,State,0,185909363^!,185909363,NULL,1083000,4,1
2000,59:34.8,State and IAP,USAID,55,PROFESSIONAL RESOURCE GROUP I^,PROFESSIONAL RESOURCE GROUP I,0,1067000,4,0
2000,59:34.8,State and IAP,USAID,56,DEVELOPMENT TECHNOLOGIES^,DEVELOPMENT TECHNOLOGIES,0,1050000,2,0
2000,59:34.8,State and IAP,State,0,525221834^!,525221834,NULL,1040000,1,1
2000,59:34.8,State and IAP,State,0,785799362^!,785799362,NULL,1040000,5,1
2000,59:34.8,State and IAP,State,0,64930720^!,64930720,NULL,1028000,2,1
2000,59:34.8,State and IAP,State,0,884534124^!,884534124,NULL,1026000,15,1
2000,59:34.8,State and IAP,USAID,57,CASYSTEMS INTERNATIONAL^,CASYSTEMS INTERNATIONAL,0,1020000,3,0
2000,59:34.8,State and IAP,State,0,808834154^!,808834154,NULL,1010000,7,1
2000,59:34.8,State and IAP,State,0,118812916^!,118812916,NULL,1006000,3,1
2000,59:34.8,State and IAP,State,61,SMITHS GROUP^,SMITHS GROUP,0,1001000,3,0
2000,59:34.8,State and IAP,State,0,615378007^!,615378007,NULL,984000,25,1
2000,59:34.8,State and IAP,State,62,KEANE^,KEANE,0,977000,5,0
2000,59:34.8,State and IAP,State,63,CETROM^,CETROM,0,974000,1,0
2000,59:34.8,State and IAP,State,0,54553631^!,54553631,NULL,966633.23,40,1
2000,59:34.8,State and IAP,State,0,196280044^!,196280044,NULL,943056.58,24,1
2000,59:34.8,State and IAP,State,0,499252971^!,499252971,NULL,934000,1,1
2000,59:34.8,State and IAP,State,0,623375854^!,623375854,NULL,933000,1,1
2000,59:34.8,State and IAP,State,64,COMTEQ FEDERAL^,COMTEQ FEDERAL,0,907000,11,0
2000,59:34.8,State and IAP,USAID,58,ADVANCED ENGINEERING ASSOCIATE^,ADVANCED ENGINEERING ASSOCIATE,0,900000,1,0
2000,59:34.8,State and IAP,State,65,DRS^,DRS,0,899000,23,0
2000,59:34.8,State and IAP,State,0,27007293^!,27007293,NULL,886000,2,1
2000,59:34.8,State and IAP,USAID,0,18785001^!,18785001,NULL,870000,3,1
2000,59:34.8,State and IAP,State,0,950033662^!,950033662,NULL,870000,1,1
2000,59:34.8,State and IAP,State,0,999981988^!,999981988,NULL,869000,2,1
2000,59:34.8,State and IAP,State,0,118076561^!,118076561,NULL,866000,9,1
2000,59:34.8,State and IAP,State,0,314019837^!,314019837,NULL,864000,1,1
2000,59:34.8,State and IAP,State,0,499414365^!,499414365,NULL,850000,1,1
2000,59:34.8,State and IAP,USAID,59,BASIC HEALTH MANAGEMENT^,BASIC HEALTH MANAGEMENT,0,848000,3,0
2000,59:34.8,State and IAP,State,0,37210697^!,37210697,NULL,847000,2,1
2000,59:34.8,State and IAP,State,0,53417515^!,53417515,NULL,826000,11,1
2000,59:34.8,State and IAP,State,0,150717684^!,150717684,NULL,822000,16,1
2000,59:34.8,State and IAP,State,66,MICRON^,MICRON,0,822000,14,0
2000,59:34.8,State and IAP,State,0,69239853^!,69239853,NULL,817000,2,1
2000,59:34.8,State and IAP,State,0,153634175^!,153634175,NULL,812000,8,1
2000,59:34.8,State and IAP,State,67,XEROX^,XEROX,0,808000,19,0
2000,59:34.8,State and IAP,State,68,VT GRIFFIN SERVICES^,VT GRIFFIN SERVICES,0,804000,4,0
2000,59:34.8,State and IAP,State,0,55628721^!,55628721,NULL,803454,5,1
2000,59:34.8,State and IAP,State,0,422128678^!,422128678,NULL,797000,2,1
2000,59:34.8,State and IAP,NULL,0,57052391^!,57052391,NULL,795000,3,1
2000,59:34.8,State and IAP,State,0,499252732^!,499252732,NULL,794000,7,1
2000,59:34.8,State and IAP,State,0,731445359^!,731445359,NULL,791000,6,1
2000,59:34.8,State and IAP,State,0,61122821^!,61122821,NULL,791000,9,1
2000,59:34.8,State and IAP,State,69,RGII TECHNOLOGIES^,RGII TECHNOLOGIES,0,784000,6,0
2000,59:34.8,State and IAP,State,70,PAL TECH^,PAL TECH,0,772000,4,0
2000,59:34.8,State and IAP,State,71,RAI^,RAI,0,738000,20,0
2000,59:34.8,State and IAP,USAID,0,17439894^!,17439894,NULL,729000,6,1
2000,59:34.8,State and IAP,NULL,0,868724279^!,868724279,NULL,693000,4,1
2000,59:34.8,State and IAP,State,72,United Technologies,UNITED TECH,0,688000,2,0
2000,59:34.8,State and IAP,State,73,American Science & Engineering^,American Science & Engineering,0,666000,4,0
2000,59:34.8,State and IAP,USAID,60,SOUTHALL WALKER INTERNATIONAL^,SOUTHALL WALKER INTERNATIONAL,0,662000,1,0
2000,59:34.8,State and IAP,USAID,0,499252922^!,499252922,NULL,655000,2,1
2000,59:34.8,State and IAP,State,74,ORACLE^,ORACLE,0,652000,6,0
2000,59:34.8,State and IAP,USAID,61,DATEX^,DATEX,0,643000,1,0
2000,59:34.8,State and IAP,USAID,62,TRIUMPH GROUP^,TRIUMPH GROUP,0,637000,2,0
2000,59:34.8,State and IAP,State,75,SAGAM^,SAGAM,0,632000,2,0
2000,59:34.8,State and IAP,USAID,63,OVERSEAS STRATEGIC CONSULTING^,OVERSEAS STRATEGIC CONSULTING,0,600000,2,0
2000,59:34.8,State and IAP,State,76,HEWLETT PACKARD^,HEWLETT PACKARD,0,595915,5,0
2000,59:34.8,State and IAP,USAID,64,Stinger Ghaffarian Technologies,STINGER GHAFFARIAN TECHNOLOGIES,0,582000,4,0
2000,59:34.8,State and IAP,State,77,ADOBE^,ADOBE,0,580000,1,0
2000,59:34.8,State and IAP,State,78,BROADSMART^,BROADSMART,0,575000,1,0
2000,59:34.8,State and IAP,USAID,0,499252898^!,499252898,NULL,575000,1,1
2000,59:34.8,State and IAP,USAID,0,71036065^!,71036065,NULL,558000,1,1
2000,59:34.8,State and IAP,State,79,OFFSHORE LOGISTICS^,OFFSHORE LOGISTICS,0,540000,2,0
2000,59:34.8,State and IAP,USAID,65,ASSOCIATED MANAGEMENT SERVICES^,ASSOCIATED MANAGEMENT SERVICES,0,538000,7,0
2000,59:34.8,State and IAP,State,80,AES^,AES,0,535000,9,0
2000,59:34.8,State and IAP,USAID,0,807521521^!,807521521,NULL,525000,2,1
