fiscal_year,Customer,SubCustomer,PlatformPortfolio,SumOfnumberOfActions,SumOfobligatedAmount
2014,Defense,Navy,Unmanned,119,229517324.7
2014,Defense,Other DoD,Other R&D and Knowledge Based,13044,3897530537
2006,Defense,Army,Weapons and Ammunition,5320,6006587130
2006,Defense,MDA,Land Vehicles,5,109553
2006,Defense,MilitaryHealth,Other Services,468,8026029219
2006,Defense,Other DoD,Electronics and Communications,21661,5402249457
2006,Defense,Other DoD,Other Products,4009,598263052.9
2006,Defense,Other DoD,Other Services,2359,585301966.8
2006,Defense,Other DoD,Weapons and Ammunition,195,156305588.5
2007,Defense,Air Force,Facilities and Construction,75401,8119599066
2007,Defense,Air Force,Weapons and Ammunition,3088,3962313337
2007,Defense,Army,Ships & Submarines,1317,187768457.6
2007,Defense,DLA,Aircraft and Drones,34224,1093463371
2007,Defense,DLA,Ships & Submarines,4889,271076622
2007,Defense,MDA,Other R&D and Knowledge Based,667,2661682634
2007,Defense,Navy,Electronics and Communications,96010,13577297236
2008,Defense,Air Force,Missile and Space Systems,3342,8245939871
2008,Defense,MDA,Land Vehicles,6,180860
2008,Defense,MilitaryHealth,Other R&D and Knowledge Based,25,6245907.56
2008,Defense,MilitaryHealth,Other Services,904,9161969197
2008,Defense,Other DoD,Other Services,9017,4645124878
2008,Defense,Other DoD,Unmanned,1,6002654
2008,Defense,Other DoD,Weapons and Ammunition,213,63138664.12
2009,Defense,Army,Aircraft and Drones,6672,8195315566
2009,Defense,Army,Land Vehicles,14031,19314596120
2009,Defense,DLA,Aircraft and Drones,48689,2964996924
2009,Defense,DLA,Land Vehicles,34197,1206113911
2009,Defense,MDA,Facilities and Construction,131,37630926.21
2009,Defense,MilitaryHealth,NULL,1,303279
2009,Defense,Navy,Electronics and Communications,90964,13542795017
2009,Defense,Navy,Unmanned,77,236272577.2
2009,Defense,Other DoD,Missile and Space Systems,197,6849228.46
2010,Defense,Air Force,Missile and Space Systems,3629,8395613205
2010,Defense,Army,Other R&D and Knowledge Based,62526,24426544124
2010,Defense,DLA,Other R&D and Knowledge Based,2171,309784213.2
2010,Defense,MDA,Other Products,6,29668.5
2010,Defense,MilitaryHealth,Facilities and Construction,20,491329.43
2010,Defense,MilitaryHealth,Other R&D and Knowledge Based,35,9901810.45
2010,Defense,Navy,NULL,13,-1374
2010,Defense,Navy,Land Vehicles,6402,3946799785
2011,Defense,Army,Aircraft and Drones,6432,9363830610
2011,Defense,Army,Land Vehicles,12396,12437957291
2011,Defense,Army,Other Services,45640,14388540335
2011,Defense,DLA,Land Vehicles,28991,1074573269
2011,Defense,DLA,Other Services,327,90449107.12
2011,Defense,MDA,Facilities and Construction,223,35981335.46
2011,Defense,Navy,Other R&D and Knowledge Based,51381,14018168309
2011,Defense,Navy,Unmanned,123,201054028.6
2011,Defense,Other DoD,Aircraft and Drones,4615,951465128.8
2011,Defense,Other DoD,Missile and Space Systems,482,113054559.8
2012,Defense,Air Force,Electronics and Communications,27648,8943026082
2012,Defense,Army,Other R&D and Knowledge Based,52527,20254683497
2012,Defense,Army,Ships & Submarines,1531,293001606.8
2012,Defense,DLA,Other R&D and Knowledge Based,1373,281029779.2
2012,Defense,DLA,Ships & Submarines,6497,998320298.4
2012,Defense,MDA,Weapons and Ammunition,73,352616535.6
2012,Defense,MilitaryHealth,Facilities and Construction,482,9859305.05
2012,Defense,Navy,Land Vehicles,4890,2028444177
2012,Defense,Navy,Missile and Space Systems,1725,3877484828
2012,Defense,Navy,Other Services,23925,4049718368
2013,Defense,Army,Land Vehicles,8048,4866355859
2013,Defense,Army,Other Products,36133,2504587619
2006,Defense,Air Force,Ships & Submarines,149,15629743
2006,Defense,Air Force,Unmanned,32,64198447
2006,Defense,Army,Facilities and Construction,134087,25946694868
2006,Defense,Army,Land Vehicles,12678,10376178053
2006,Defense,Army,Other R&D and Knowledge Based,51084,18242083030
2006,Defense,DLA,Facilities and Construction,77308,3647112352
2006,Defense,DLA,Land Vehicles,29135,541917809.2
2006,Defense,DLA,Other R&D and Knowledge Based,1546,214039950.2
2006,Defense,DLA,Weapons and Ammunition,4762,108440807
2006,Defense,MDA,Facilities and Construction,227,194924190.5
2006,Defense,MDA,Other Services,8,788549
2006,Defense,MilitaryHealth,Electronics and Communications,63,1109488.55
2006,Defense,Navy,Aircraft and Drones,10533,16919601191
2006,Defense,Navy,Unmanned,33,17146584.1
2006,Defense,Other DoD,Facilities and Construction,6182,859641783.6
2007,Defense,Air Force,Ships & Submarines,163,6334386.24
2007,Defense,Army,Land Vehicles,16203,18645437545
2007,Defense,DLA,Land Vehicles,30067,694185278.4
2007,Defense,MDA,Electronics and Communications,103,32163477.35
2007,Defense,MDA,Facilities and Construction,159,54581106.95
2007,Defense,Navy,Unmanned,59,85849980.72
2007,Defense,Other DoD,Other R&D and Knowledge Based,7104,2307922926
2007,Defense,Other DoD,Ships & Submarines,486,68601580.95
2008,Defense,Army,Other Services,30686,11573425105
2008,Defense,Army,Unmanned,198,1006068807
2008,Defense,DLA,Other Services,824,71132367.86
2008,Defense,MDA,Electronics and Communications,71,2983932.58
2008,Defense,Other DoD,Ships & Submarines,734,133357453.7
2009,Defense,Air Force,Electronics and Communications,33493,9531854000
2009,Defense,Army,Other R&D and Knowledge Based,65636,25572074293
2009,Defense,Army,Other Services,36437,11664092347
2009,Defense,Army,Ships & Submarines,1709,251785627.4
2009,Defense,Army,Unmanned,157,670573589.4
2009,Defense,DLA,Other Services,694,79064645.48
2009,Defense,DLA,Ships & Submarines,3755,332423948.5
2009,Defense,DLA,Unmanned,1,96000
2009,Defense,MDA,Other Services,10,-259351.96
2009,Defense,Navy,Missile and Space Systems,1643,2992564764
2009,Defense,Navy,Other Products,41811,1856055827
2009,Defense,Other DoD,Facilities and Construction,5728,665366696.8
2009,Defense,Other DoD,Other Services,10322,4480842631
2010,Defense,Air Force,Aircraft and Drones,11786,18400700023
2010,Defense,Air Force,Electronics and Communications,31411,9157771947
2010,Defense,Army,Ships & Submarines,1532,264036220.5
2010,Defense,DLA,Ships & Submarines,4366,773339302.8
2010,Defense,Navy,Missile and Space Systems,1647,3404515838
2010,Defense,Navy,Other Products,40600,1729213430
2010,Defense,Other DoD,Electronics and Communications,46621,6801252738
2010,Defense,Other DoD,Facilities and Construction,7387,590465152.2
2011,Defense,Air Force,Aircraft and Drones,11261,18970528590
2011,Defense,Air Force,Missile and Space Systems,3616,9273882021
2011,Defense,MDA,Aircraft and Drones,1,28226.12
2011,Defense,Other DoD,Electronics and Communications,64080,7331835158
2012,Defense,Army,Electronics and Communications,55381,12961642952
2012,Defense,DLA,Electronics and Communications,52229,2501440213
2012,Defense,MDA,Missile and Space Systems,2427,4788557691
2012,Defense,MDA,Other Products,7,10735
2012,Defense,MilitaryHealth,Land Vehicles,1,20625
2012,Defense,Navy,Weapons and Ammunition,3999,2488636029
2012,Defense,Other DoD,Other Services,10821571,8158972084
2012,Defense,Other DoD,Unmanned,20,1160003.91
2013,Defense,Army,Other Services,33428,9965040985
2013,Defense,Army,Unmanned,288,950345945.4
2013,Defense,DLA,Other Products,319152,23555172948
2013,Defense,DLA,Other Services,624,67955729.7
2013,Defense,Navy,Facilities and Construction,65497,9012215283
2013,Defense,Navy,Other R&D and Knowledge Based,42015,9811421647
2013,Defense,Navy,Ships & Submarines,23465,18784666184
2013,Defense,Other DoD,Aircraft and Drones,5047,635417226.8
2013,Defense,Other DoD,Electronics and Communications,81583,6428661197
2013,Defense,Other DoD,Other Services,9343023,5926644492
2014,Defense,Air Force,Electronics and Communications,31815,7790366785
2014,Defense,Army,NULL,1,72.5
2014,Defense,Army,Ships & Submarines,1338,185048952.2
2014,Defense,DLA,Ships & Submarines,8119,842304323.1
2014,Defense,MDA,Weapons and Ammunition,45,87652955.96
2014,Defense,MilitaryHealth,Facilities and Construction,42,2966667.977
2014,Defense,Navy,Missile and Space Systems,1372,3778721899
2014,Defense,Navy,Other Services,22243,3867292535
2013,Defense,Army,Aircraft and Drones,5295,9931767003
2013,Defense,Army,Electronics and Communications,45315,10246300521
2013,Defense,DLA,Aircraft and Drones,51661,2933765156
2013,Defense,DLA,Electronics and Communications,61258,2422212386
2013,Defense,MDA,Missile and Space Systems,2441,5744652274
2013,Defense,MDA,Other Products,8,132283.9867
2013,Defense,Other DoD,Unmanned,4,-805365.33
2014,Defense,Air Force,Missile and Space Systems,2515,5260790276
2014,Defense,Air Force,Other Products,8001,508993487.1
2014,Defense,Army,Aircraft and Drones,4775,8393002394
2014,Defense,DLA,Aircraft and Drones,57916,3055796292
2014,Defense,DLA,Missile and Space Systems,709,16762936.45
2014,Defense,MilitaryHealth,Other R&D and Knowledge Based,298,357778400.5
2014,Defense,Other DoD,Aircraft and Drones,4913,580183535.2
