fiscal_year,Query_Run_Date,SingleYearObligatedAmount,SingleYearbaseandexercisedoptionsvalue,SingleYearMaxOfbaseandalloptions,CountOfPIID,CountofModnumber,SumOfobligatedAmount,SumOfnumberOfActions
2005,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$5 - <$25 million,14,23,10622495,24
2008,42039.73265,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,16867,38717,35979048507,88414
2005,42039.73265,Deobligation,Deobligation,Deobligation,123,146,-19164908.68,146
2003,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$5 - <$25 million,3,4,1102523,6
2011,42039.73265,Zero value,$250 thousand - <$1 million,Zero value,21,32,0,41
2008,42039.73265,$5 - <$25 million,$25 - <$100 million,Greater than $500 million,2,28,23645466.3,31
2005,42039.73265,$25 - <$100 million,$25 - <$100 million,$5 - <$25 million,1,11,31526688,11
2013,42039.73265,Zero value,$25 - <$100 million,Greater than $500 million,1,1,0,1
2005,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,$250 thousand - <$1 million,1,4,11447195,4
2011,42039.73265,Zero value,NULL,Less than $250 thousand,5792,8235,0,NULL
2013,42039.73265,$100 - <$500 million,$250 thousand - <$1 million,$250 thousand - <$1 million,2,26,348775416,26
2014,42039.73265,Deobligation,Greater than $500 million,Greater than $500 million,1,13,-64262.87,13
2005,42039.73265,Zero value,NULL,Zero value,29453,29774,0,NULL
2002,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,4,14,2493305,15
2012,42039.73265,$25 - <$100 million,$25 - <$100 million,Less than $250 thousand,7,143,363112349.2,160
2011,42039.73265,Less than $250 thousand,$1 - <$5 million,$5 - <$25 million,29,41,3318147.17,42
2012,42039.73265,$1 - <$5 million,$1 - <$5 million,Zero value,797,3388,1686071124,3642
2012,42039.73265,$100 - <$500 million,Zero value,Deobligation,1,15,271527803.4,15
2003,42039.73265,$25 - <$100 million,$100 - <$500 million,$100 - <$500 million,4,22,240724281,22
2012,42039.73265,$5 - <$25 million,$25 - <$100 million,$100 - <$500 million,7,59,82006927.16,59
2012,42039.73265,$1 - <$5 million,Deobligation,$1 - <$5 million,2,21,4785589.02,28
2002,42039.73265,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,6,29,12938721.64,30
2010,42039.73265,$250 thousand - <$1 million,Zero value,$250 thousand - <$1 million,1,6,563076.8,6
2010,42039.73265,$25 - <$100 million,$5 - <$25 million,Deobligation,4,95,160505281.2,96
2007,42039.73265,Zero value,Deobligation,Zero value,1,1,0,1
2007,42039.73265,$5 - <$25 million,$1 - <$5 million,$25 - <$100 million,2,33,11878146,35
2013,42039.73265,Zero value,Zero value,Zero value,57879,83442,0,83871
2008,42039.73265,$1 - <$5 million,Deobligation,$250 thousand - <$1 million,2,12,5415897.08,12
2008,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$100 - <$500 million,4,4,1977802.99,4
2013,42039.73265,Less than $250 thousand,$25 - <$100 million,$5 - <$25 million,1,4,89783.1493,4
2005,42039.73265,$5 - <$25 million,$5 - <$25 million,$250 thousand - <$1 million,1,6,9765659.38,6
2014,42039.73265,Zero value,$250 thousand - <$1 million,$1 - <$5 million,108,113,0,113
2005,42039.73265,$1 - <$5 million,$1 - <$5 million,Deobligation,2,3,3186625,3
2012,42039.73265,Less than $250 thousand,Zero value,Zero value,3714,7228,271627109.2,7329
2011,42039.73265,Deobligation,Deobligation,Deobligation,48778,61990,-4748153466,62551
2007,42039.73265,Zero value,Less than $250 thousand,Less than $250 thousand,5338,6088,0,6091
2007,42039.73265,Zero value,$250 thousand - <$1 million,Zero value,15,24,0,24
2003,42039.73265,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,15,15,0,15
2014,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,Zero value,39,258,55674486.69,269
2011,42039.73265,$25 - <$100 million,$250 thousand - <$1 million,$250 thousand - <$1 million,5,58,191150983.8,58
2006,42039.73265,Less than $250 thousand,$5 - <$25 million,$100 - <$500 million,1,1,10000,5
2012,42039.73265,$100 - <$500 million,$25 - <$100 million,$5 - <$25 million,1,56,132145125,56
2006,42039.73265,Zero value,NULL,$100 - <$500 million,147,187,0,NULL
2011,42039.73265,Deobligation,$250 thousand - <$1 million,Deobligation,8,35,-2232221.47,35
2011,42039.73265,Deobligation,$250 thousand - <$1 million,$250 thousand - <$1 million,11,65,-25408190.75,65
2002,42039.73265,Zero value,$1 - <$5 million,$1 - <$5 million,6,7,0,7
2014,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,Zero value,133,642,89469923.65,657
2009,42039.73265,Zero value,$250 thousand - <$1 million,Less than $250 thousand,1,1,0,1
2013,42039.73265,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,173,1522,1640645135,1625
2008,42039.73265,$1 - <$5 million,$1 - <$5 million,Greater than $500 million,3,7,4755138.89,7
2009,42039.73265,Zero value,Less than $250 thousand,Deobligation,14,26,0,26
2007,42039.73265,$1 - <$5 million,$5 - <$25 million,$25 - <$100 million,71,334,169233241.9,372
2007,42039.73265,$250 thousand - <$1 million,Greater than $500 million,Greater than $500 million,38,83,21565250,83
2007,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$5 - <$25 million,159,552,93089226.3,586
1992,42039.73265,Zero value,NULL,NULL,232,459,0,NULL
2009,42039.73265,Zero value,NULL,$250 thousand - <$1 million,2100,4046,0,NULL
2007,42039.73265,Less than $250 thousand,$5 - <$25 million,Greater than $500 million,1,1,10366.73,1
2011,42039.73265,$25 - <$100 million,$25 - <$100 million,Greater than $500 million,1,9,41300000,12
2010,42039.73265,$1 - <$5 million,Less than $250 thousand,Zero value,11,71,25031845.38,94
2013,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Zero value,46,158,19654817.94,165
2009,42039.73265,Less than $250 thousand,Deobligation,Zero value,10,21,515438.25,21
2011,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,$5 - <$25 million,6,13,848940,14
2012,42039.73265,Zero value,NULL,Zero value,16889,28381,0,NULL
2005,42039.73265,$250 thousand - <$1 million,Zero value,Less than $250 thousand,1,3,295480,3
2008,42039.73265,$1 - <$5 million,Less than $250 thousand,Less than $250 thousand,104,537,219171245.2,546
2002,42039.73265,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,4,42,223529006,45
2013,42039.73265,$5 - <$25 million,Deobligation,Deobligation,47,468,495557967.9,509
2013,42039.73265,$25 - <$100 million,$5 - <$25 million,$5 - <$25 million,28,455,1247020324,508
2008,42039.73265,$5 - <$25 million,$5 - <$25 million,Deobligation,47,380,516579822.2,381
2008,42039.73265,Less than $250 thousand,$1 - <$5 million,$25 - <$100 million,2,2,268788.58,4
2011,42039.73265,Zero value,$1 - <$5 million,$250 thousand - <$1 million,1,3,0,3
2013,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,1663,3907,820456658.8,3935
1988,42039.73265,Less than $250 thousand,NULL,NULL,24,25,1980000,NULL
2010,42039.73265,$25 - <$100 million,$100 - <$500 million,$100 - <$500 million,33,267,1806849856,276
2011,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,$1 - <$5 million,1,8,17163940.17,8
2007,42039.73265,$25 - <$100 million,$5 - <$25 million,$250 thousand - <$1 million,1,21,25706929,21
2014,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,$250 thousand - <$1 million,1,5,790442.2187,8
2005,42039.73265,$1 - <$5 million,Zero value,$1 - <$5 million,54,60,127652365,61
2007,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,$25 - <$100 million,45,188,27855300.82,216
2004,42039.73265,Deobligation,Less than $250 thousand,Less than $250 thousand,3,3,-50017.68,3
2011,42039.73265,Deobligation,Zero value,Zero value,15677,18791,-2231555029,18900
2009,42039.73265,Deobligation,$5 - <$25 million,$5 - <$25 million,8,42,-9130353.12,43
2006,42039.73265,$25 - <$100 million,$1 - <$5 million,$1 - <$5 million,5,99,185859190,99
2013,42039.73265,$25 - <$100 million,$25 - <$100 million,Deobligation,31,442,1428007280,500
2006,42039.73265,Zero value,$5 - <$25 million,Zero value,3,5,0,5
2014,42039.73265,$1 - <$5 million,Less than $250 thousand,$250 thousand - <$1 million,1,3,1279528.32,3
2007,42039.73265,$100 - <$500 million,$25 - <$100 million,$25 - <$100 million,3,91,355243899.2,215
2008,42039.73265,Zero value,NULL,$5 - <$25 million,1969,3635,0,NULL
2007,42039.73265,Less than $250 thousand,$1 - <$5 million,$25 - <$100 million,3,6,314359.78,9
1996,42039.73265,Deobligation,NULL,NULL,3044,5434,-4616761180,5509
2007,42039.73265,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,3303,10206,33168343040,22028
2014,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,$1 - <$5 million,3,18,1256307.449,18
2002,42039.73265,Zero value,NULL,$1 - <$5 million,455,460,0,NULL
2004,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$250 thousand - <$1 million,1,6,740582,6
2006,42039.73265,Zero value,$1 - <$5 million,Less than $250 thousand,1,2,0,2
2008,42039.73265,$100 - <$500 million,Greater than $500 million,Deobligation,1,9,370000000,9
2005,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,10,32,21370284.29,32
2013,42039.73265,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,261,346,0,784
2003,42039.73265,Less than $250 thousand,$1 - <$5 million,$5 - <$25 million,4,5,403953,5
2013,42039.73265,Deobligation,Less than $250 thousand,Zero value,7,15,-5372172.675,15
2011,42039.73265,Zero value,Zero value,Deobligation,169,286,0,286
2004,42039.73265,Less than $250 thousand,$25 - <$100 million,$25 - <$100 million,1,1,69953.67,1
2006,42039.73265,Zero value,Less than $250 thousand,$250 thousand - <$1 million,114,137,0,137
2014,42039.73265,$1 - <$5 million,Zero value,$5 - <$25 million,5,30,12954990,32
2009,42039.73265,Greater than $500 million,$1 - <$5 million,$1 - <$5 million,1,20,692690984.7,20
2008,42039.73265,$5 - <$25 million,Zero value,$25 - <$100 million,1,3,20760243,4
2007,42039.73265,Zero value,$25 - <$100 million,Greater than $500 million,1,1,0,1
2006,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$5 - <$25 million,49,115,29238974.62,124
2006,42039.73265,Zero value,Zero value,Deobligation,2,7,0,7
2005,42039.73265,$5 - <$25 million,Greater than $500 million,Greater than $500 million,8,8,122836914.8,8
2004,42039.73265,Less than $250 thousand,Less than $250 thousand,$100 - <$500 million,1,1,25000,1
2007,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,Greater than $500 million,1,3,991263.6,3
2008,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,171,397,23715234.95,403
2012,42039.73265,Less than $250 thousand,$5 - <$25 million,Deobligation,1,2,9171.35,2
2010,42039.73265,Deobligation,Deobligation,$250 thousand - <$1 million,5,11,-253272.72,12
2013,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,671,1894,434773652.1,1948
2010,42039.73265,$1 - <$5 million,$1 - <$5 million,Zero value,724,3316,1498737859,3705
2005,42039.73265,Greater than $500 million,Greater than $500 million,Zero value,1,14,513486973,14
2009,42039.73265,$5 - <$25 million,$5 - <$25 million,Less than $250 thousand,44,345,441914590.8,377
2008,42039.73265,Zero value,$25 - <$100 million,$100 - <$500 million,2,4,0,4
2010,42039.73265,Less than $250 thousand,$5 - <$25 million,$25 - <$100 million,23,34,2230798.13,35
2005,42039.73265,Less than $250 thousand,$1 - <$5 million,$5 - <$25 million,14,20,982122.58,20
2012,42039.73265,Zero value,Zero value,$1 - <$5 million,14,28,0,28
2009,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$5 - <$25 million,91,182,57778263.63,194
2007,42039.73265,$1 - <$5 million,$1 - <$5 million,Less than $250 thousand,59,291,116242450,291
2012,42039.73265,Less than $250 thousand,$25 - <$100 million,$100 - <$500 million,1,2,21948.04,2
2010,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,Less than $250 thousand,30,207,22372699.38,207
2012,42039.73265,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,16122,43124,34616893668,1342629
2006,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,$250 thousand - <$1 million,19,51,8924892.35,51
2000,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,4,9,1549380.44,9
2012,42039.73265,Zero value,$5 - <$25 million,$5 - <$25 million,54,82,0,85
2012,42039.73265,$25 - <$100 million,$25 - <$100 million,Greater than $500 million,3,7,148316805.7,7
2006,42039.73265,Zero value,$25 - <$100 million,$100 - <$500 million,3,3,0,3
2014,42039.73265,$1 - <$5 million,Deobligation,$250 thousand - <$1 million,2,10,2241896.518,10
2006,42039.73265,$5 - <$25 million,$1 - <$5 million,$250 thousand - <$1 million,2,21,19280395,21
2006,42039.73265,$5 - <$25 million,$25 - <$100 million,Zero value,1,14,7881768,14
2010,42039.73265,Zero value,$100 - <$500 million,$100 - <$500 million,2,3,0,3
2011,42039.73265,$5 - <$25 million,$25 - <$100 million,Deobligation,6,85,103733018.6,125
2013,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$1 - <$5 million,4,18,5933601.88,18
2003,42039.73265,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,12,24,27696452.17,25
2007,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,Deobligation,4,16,2804635.91,16
2006,42039.73265,$25 - <$100 million,Greater than $500 million,Greater than $500 million,9,44,435313164.4,75
2010,42039.73265,Deobligation,$250 thousand - <$1 million,$250 thousand - <$1 million,26,57,-2267870.97,70
2005,42039.73265,$5 - <$25 million,Zero value,$5 - <$25 million,51,74,572635094,82
2012,42039.73265,$5 - <$25 million,Deobligation,Less than $250 thousand,2,15,15916256.69,28
2006,42039.73265,$25 - <$100 million,$100 - <$500 million,Zero value,2,40,70241149.2,40
2014,42039.73265,$5 - <$25 million,$1 - <$5 million,Zero value,24,241,170177339.7,295
2014,42039.73265,$1 - <$5 million,$5 - <$25 million,Less than $250 thousand,6,76,23189692.26,83
2013,42039.73265,Deobligation,$1 - <$5 million,$5 - <$25 million,1,3,-60000,3
2003,42039.73265,$1 - <$5 million,Zero value,Zero value,15838,39320,33540745811,42845
2006,42039.73265,$1 - <$5 million,Less than $250 thousand,Less than $250 thousand,117,754,229425474.6,756
2001,42039.73265,Less than $250 thousand,NULL,Less than $250 thousand,1,1,36050,NULL
2012,42039.73265,Zero value,NULL,$1 - <$5 million,2452,4702,0,NULL
2008,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,Zero value,1,10,427166.5,10
2004,42039.73265,Less than $250 thousand,Less than $250 thousand,$5 - <$25 million,2,2,54274.83,2
2009,42039.73265,$250 thousand - <$1 million,$25 - <$100 million,$100 - <$500 million,1,8,334884,8
2004,42039.73265,$250 thousand - <$1 million,NULL,$250 thousand - <$1 million,1,2,401586,NULL
2013,42039.73265,$25 - <$100 million,$100 - <$500 million,Zero value,1,16,27045178.84,28
2012,42039.73265,$25 - <$100 million,$25 - <$100 million,$250 thousand - <$1 million,5,90,161725031,90
2012,42039.73265,Deobligation,Deobligation,Zero value,45,86,-14604926.05,92
2010,42039.73265,$100 - <$500 million,$1 - <$5 million,$5 - <$25 million,1,11,411557945,11
2013,42039.73265,Less than $250 thousand,Deobligation,$250 thousand - <$1 million,2,2,305776.25,2
2008,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,Zero value,12,60,23608551.95,60
2007,42039.73265,$1 - <$5 million,Zero value,$5 - <$25 million,1,1,1159649.75,3
2003,42039.73265,Deobligation,$25 - <$100 million,$25 - <$100 million,1,1,-886114,1
2006,42039.73265,Zero value,NULL,Deobligation,58,115,0,NULL
1992,42039.73265,Deobligation,NULL,NULL,4005,6281,-2892462759,6
1990,42039.73265,Less than $250 thousand,NULL,NULL,69538,80605,5842855686,3
2013,42039.73265,Zero value,$25 - <$100 million,$25 - <$100 million,10,12,0,15
2008,42039.73265,$5 - <$25 million,$1 - <$5 million,$25 - <$100 million,1,11,7117611.92,11
2013,42039.73265,$250 thousand - <$1 million,Deobligation,Less than $250 thousand,3,9,1321280.526,9
2006,42039.73265,Zero value,Zero value,$250 thousand - <$1 million,23,26,0,26
2006,42039.73265,$5 - <$25 million,$5 - <$25 million,Greater than $500 million,1,26,8046294,26
2009,42039.73265,Deobligation,Deobligation,$5 - <$25 million,1,3,-156303.85,3
2011,42039.73265,$250 thousand - <$1 million,Deobligation,Zero value,3,15,1691372.92,15
2009,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,$25 - <$100 million,9,19,5737116.33,29
2008,42039.73265,Deobligation,$5 - <$25 million,$25 - <$100 million,1,13,-153463663.4,13
2009,42039.73265,$250 thousand - <$1 million,Deobligation,$250 thousand - <$1 million,1,6,672212.16,6
2010,42039.73265,Zero value,$5 - <$25 million,Less than $250 thousand,1,1,0,1
2009,42039.73265,Deobligation,$250 thousand - <$1 million,Deobligation,2,6,-1536202.01,6
2012,42039.73265,$5 - <$25 million,Less than $250 thousand,Less than $250 thousand,18,142,172251758.4,144
2007,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Deobligation,3,14,958513,14
2008,42039.73265,$100 - <$500 million,$25 - <$100 million,$25 - <$100 million,2,86,511999252.1,87
2004,42039.73265,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,19,46,37529199.24,50
2011,42039.73265,Zero value,NULL,$25 - <$100 million,974,2203,0,NULL
2006,42039.73265,Deobligation,$250 thousand - <$1 million,$1 - <$5 million,1,4,-861535.88,4
2008,42039.73265,Zero value,$1 - <$5 million,Less than $250 thousand,1,4,0,4
2007,42039.73265,Less than $250 thousand,Less than $250 thousand,$1 - <$5 million,319,577,48126320.71,643
2013,42039.73265,Less than $250 thousand,$1 - <$5 million,$100 - <$500 million,1,2,113128.6577,2
2014,42039.73265,$5 - <$25 million,Deobligation,Zero value,1,14,7128175,14
2005,42039.73265,Deobligation,Zero value,Zero value,33879,49170,-5428176812,50442
2010,42039.73265,$25 - <$100 million,$5 - <$25 million,$25 - <$100 million,2,23,87370383.22,23
1990,42039.73265,NULL,NULL,NULL,2961,5278,NULL,NULL
2006,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$25 - <$100 million,5,7,2589615,7
2004,42039.73265,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,22,89,1077905039,91
2007,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$1 - <$5 million,3,35,4242790,35
2005,42039.73265,$1 - <$5 million,$5 - <$25 million,Deobligation,1,3,3499788.09,3
2004,42039.73265,$5 - <$25 million,Greater than $500 million,Greater than $500 million,2,2,30719630.77,2
2011,42039.73265,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,17025,47658,36868691431,390279
2011,42039.73265,Zero value,$250 thousand - <$1 million,Less than $250 thousand,4,7,0,7
2014,42039.73265,$25 - <$100 million,Greater than $500 million,Greater than $500 million,5,42,247999946.8,42
2013,42039.73265,$100 - <$500 million,Zero value,Zero value,13,343,3132207119,343
2013,42039.73265,Zero value,Deobligation,Deobligation,647,863,0,865
2009,42039.73265,$100 - <$500 million,$100 - <$500 million,$100 - <$500 million,216,3271,42415238334,6110
2003,42039.73265,Zero value,$25 - <$100 million,$25 - <$100 million,2,3,0,3
2006,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$250 thousand - <$1 million,5,18,2963677.43,18
2005,42039.73265,Zero value,NULL,Greater than $500 million,786,4802,0,NULL
2013,42039.73265,Zero value,Zero value,$1 - <$5 million,18,26,0,26
2012,42039.73265,$1 - <$5 million,$25 - <$100 million,$1 - <$5 million,1,6,1133524.05,6
2006,42039.73265,$100 - <$500 million,Zero value,Zero value,213,3140,41757025616,7776
2005,42039.73265,$5 - <$25 million,$25 - <$100 million,Zero value,4,46,67868832.17,47
2013,42039.73265,$100 - <$500 million,$100 - <$500 million,$5 - <$25 million,7,240,1657342471,240
2011,42039.73265,Less than $250 thousand,$5 - <$25 million,$25 - <$100 million,42,48,1539622.03,48
2011,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Greater than $500 million,1,1,817350,1
2003,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$25 - <$100 million,1,3,680000,3
2009,42039.73265,Zero value,Zero value,$25 - <$100 million,2,6,0,6
2003,42039.73265,$5 - <$25 million,$100 - <$500 million,Greater than $500 million,1,5,9073475,8
2012,42039.73265,Less than $250 thousand,$25 - <$100 million,Deobligation,1,3,34441.33,3
2009,42039.73265,$25 - <$100 million,$5 - <$25 million,$1 - <$5 million,1,8,26264112,11
2006,42039.73265,Deobligation,Less than $250 thousand,Less than $250 thousand,181,334,-15173160.93,334
2012,42039.73265,Zero value,$250 thousand - <$1 million,Deobligation,1,1,0,1
2010,42039.73265,Less than $250 thousand,$25 - <$100 million,$25 - <$100 million,58,138,3656424.65,138
2006,42039.73265,$25 - <$100 million,$25 - <$100 million,Zero value,2,44,105345836,44
2009,42039.73265,Zero value,NULL,Less than $250 thousand,7832,10668,0,NULL
2000,42039.73265,Zero value,Zero value,Zero value,741,1361,0,1422
2014,42039.73265,$250 thousand - <$1 million,Zero value,Deobligation,4,19,1744583.06,22
1998,42039.73265,$250 thousand - <$1 million,NULL,NULL,16359,43602,8167616069,44273
2011,42039.73265,$1 - <$5 million,Deobligation,Deobligation,146,1009,341387216.4,1027
2003,42039.73265,Deobligation,Zero value,$25 - <$100 million,1,1,-1471700,1
2014,42039.73265,Zero value,$250 thousand - <$1 million,Deobligation,3,11,0,11
2010,42039.73265,$5 - <$25 million,$1 - <$5 million,Zero value,21,240,169929749.1,331
2013,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Zero value,96,276,15396452.5,277
2013,42039.73265,$1 - <$5 million,$25 - <$100 million,Deobligation,1,4,3163953,4
2006,42039.73265,$5 - <$25 million,Greater than $500 million,Greater than $500 million,29,33,463483487.9,33
2010,42039.73265,$250 thousand - <$1 million,Zero value,Deobligation,2,10,926794.4,10
2009,42039.73265,$250 thousand - <$1 million,Zero value,Less than $250 thousand,1,7,323877.71,7
2004,42039.73265,Zero value,$5 - <$25 million,$5 - <$25 million,4,4,0,4
2014,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,$1 - <$5 million,1,6,261013,6
2011,42039.73265,$100 - <$500 million,$100 - <$500 million,$5 - <$25 million,3,86,502010097,86
2007,42039.73265,$5 - <$25 million,$1 - <$5 million,Less than $250 thousand,1,9,8712531,9
2006,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,44,130,19843895.1,138
2007,42039.73265,$25 - <$100 million,$100 - <$500 million,Greater than $500 million,5,36,297771698,36
2007,42039.73265,Zero value,Less than $250 thousand,$5 - <$25 million,1,1,0,1
2006,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$5 - <$25 million,10,35,17624250,35
2006,42039.73265,$5 - <$25 million,$5 - <$25 million,$250 thousand - <$1 million,4,31,47223512.31,31
2006,42039.73265,Zero value,Deobligation,Zero value,5,5,0,5
2014,42039.73265,Zero value,$1 - <$5 million,$5 - <$25 million,33,36,0,36
2011,42039.73265,Greater than $500 million,$100 - <$500 million,$100 - <$500 million,5,207,4913460990,207
2011,42039.73265,$5 - <$25 million,$25 - <$100 million,$100 - <$500 million,10,73,157491490.9,100
2006,42039.73265,$1 - <$5 million,$1 - <$5 million,Deobligation,13,51,25319568.04,51
2006,42039.73265,$25 - <$100 million,$5 - <$25 million,$5 - <$25 million,5,36,141459537.1,37
2007,42039.73265,Deobligation,Deobligation,$1 - <$5 million,4,26,-4102001.5,26
2007,42039.73265,$5 - <$25 million,$25 - <$100 million,$25 - <$100 million,111,764,1694831338,1119
2007,42039.73265,Less than $250 thousand,Greater than $500 million,Greater than $500 million,35,38,3320943.5,38
2002,42039.73265,Zero value,Less than $250 thousand,Zero value,1,1,0,1
2006,42039.73265,Zero value,NULL,$5 - <$25 million,834,1261,0,NULL
2006,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,Deobligation,3,14,4200839,14
2004,42039.73265,Zero value,NULL,$1 - <$5 million,110,131,0,NULL
2007,42039.73265,$25 - <$100 million,$25 - <$100 million,$250 thousand - <$1 million,2,12,88924934.61,12
2013,42039.73265,Greater than $500 million,$1 - <$5 million,$1 - <$5 million,1,18,1594565079,20
1989,42039.73265,$100 - <$500 million,NULL,NULL,1,1,176174000,NULL
2014,42039.73265,Deobligation,$1 - <$5 million,Zero value,4,19,-678830.5463,19
2008,42039.73265,$250 thousand - <$1 million,Zero value,Less than $250 thousand,2,8,817715.24,8
2007,42039.73265,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,884644,992822,22512254908,1024665
2009,42039.73265,Deobligation,Deobligation,Zero value,369,412,-20390330.89,412
2014,42039.73265,Zero value,Deobligation,Less than $250 thousand,1,2,0,2
2001,42039.73265,Zero value,NULL,Less than $250 thousand,9,12,0,NULL
1994,42039.73265,$5 - <$25 million,NULL,NULL,2579,30950,26716472482,31839
2011,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,$250 thousand - <$1 million,1,5,542326,5
2013,42039.73265,Zero value,Zero value,$25 - <$100 million,4,16,0,7
2010,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,Deobligation,17,126,32699521.29,141
2009,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,Less than $250 thousand,2,10,18102468,12
2014,42039.73265,$100 - <$500 million,$100 - <$500 million,Greater than $500 million,4,25,1073478999,27
2002,42039.73265,Zero value,NULL,Greater than $500 million,28,28,0,NULL
2011,42039.73265,$250 thousand - <$1 million,Deobligation,Less than $250 thousand,5,30,2484883.79,30
2012,42039.73265,$100 - <$500 million,$100 - <$500 million,$1 - <$5 million,4,71,645958978.8,71
2013,42039.73265,$1 - <$5 million,$1 - <$5 million,$100 - <$500 million,2,2,5996182,2
2012,42039.73265,$25 - <$100 million,$5 - <$25 million,Zero value,3,48,122859117.8,48
2006,42039.73265,$5 - <$25 million,$1 - <$5 million,$1 - <$5 million,32,326,327057395.6,327
2006,42039.73265,$1 - <$5 million,$5 - <$25 million,$1 - <$5 million,3,22,6802782.68,22
2014,42039.73265,Less than $250 thousand,Zero value,Deobligation,17,56,1001181.022,56
2001,42039.73265,$5 - <$25 million,$5 - <$25 million,$100 - <$500 million,1,5,10139310.58,5
2012,42039.73265,Deobligation,Deobligation,$5 - <$25 million,1,1,-835619.89,1
2010,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,369,1497,174278896.9,1505
2009,42039.73265,$5 - <$25 million,$25 - <$100 million,Zero value,8,107,120267482.2,119
2005,42039.73265,$1 - <$5 million,Zero value,Less than $250 thousand,1,3,2585757,3
2009,42039.73265,Greater than $500 million,Zero value,$100 - <$500 million,1,38,2518364618,38
2011,42039.73265,Deobligation,$5 - <$25 million,$5 - <$25 million,6,36,-254784284.3,36
2006,42039.73265,Deobligation,Less than $250 thousand,$1 - <$5 million,1,2,-310968,2
2008,42039.73265,Deobligation,Zero value,Zero value,16787,21636,-2439084018,24892
2008,42039.73265,$5 - <$25 million,Greater than $500 million,Greater than $500 million,15,83,185950649.5,83
2013,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Less than $250 thousand,34,160,5871384.518,160
2010,42039.73265,$1 - <$5 million,Deobligation,$1 - <$5 million,2,11,3416294.32,11
2006,42039.73265,$1 - <$5 million,NULL,$1 - <$5 million,1,3,1216202,NULL
2014,42039.73265,Deobligation,Zero value,Less than $250 thousand,58,70,-5295080.476,70
2008,42039.73265,$25 - <$100 million,$25 - <$100 million,$250 thousand - <$1 million,4,64,241411033.9,68
