fiscal_year,Customer,Query_Run,ServicesCategory,SumOfnumberOfActions,SumOfobligatedAmount
2008,Other Agencies,02:26.4,PAMS,16,3467881.39
2014,DHS,02:26.4,ERS,819,211107642.2
2011,Other Agencies,02:26.4,Products,94,5684238.55
2007,Defense,02:26.4,Products,67,721863.3
1996,Defense,02:26.4,MED,383,165299645
2002,Other Agencies,02:26.4,MED,NULL,0
2008,Other Agencies,02:26.4,Products,43,1086425.39
2012,State and IAP,02:26.4,MED,5,1337414.1
2001,NASA,02:26.4,ICT,723,435961871.4
2005,Other Agencies,02:26.4,FRS&C,16,18849.58
2000,Defense,02:26.4,Products,19145,17104843453
2003,Other Agencies,02:26.4,Products,1160,142775723
2002,Other Agencies,02:26.4,ERS,1524,139025011
2002,Other Agencies,02:26.4,ICT,158,26522240.45
1996,Defense,02:26.4,Products,3,91996
2004,Other Agencies,02:26.4,ERS,166,20528410.24
2007,Other Agencies,02:26.4,ERS,36,1132220.3
2011,Other Agencies,02:26.4,ICT,2242,419483513.8
2001,Other Agencies,02:26.4,Products,18844,1041086041
2009,Energy,02:26.4,PAMS,5969,1683016887
2003,Other Agencies,02:26.4,PAMS,451,49393751
2012,DHS,02:26.4,ERS,149,247506734.1
2007,Other Agencies,02:26.4,Products,357,14610488.6
2003,State and IAP,02:26.4,ICT,1564,312234161.4
2010,Other Agencies,02:26.4,ICT,151,19743855.81
2011,Other Agencies,02:26.4,FRS&C,40,19491400.74
2009,Other Agencies,02:26.4,PAMS,2070,222816923
2003,Other Agencies,02:26.4,R&D,14,1114700
2011,Other Agencies,02:26.4,R&D,63,8193448.76
2010,Defense,02:26.4,MED,6282,612902674.3
2012,Other Agencies,02:26.4,ERS,40,-265964.42
2002,Other Agencies,02:26.4,PAMS,84,3444000
2004,Other Agencies,02:26.4,ERS,128,2881525.3
2009,Other Agencies,02:26.4,ICT,1829,169794406.7
2005,Other Agencies,02:26.4,PAMS,542,117588765.2
2003,Other Agencies,02:26.4,NULL,179,3827598.75
2007,State and IAP,02:26.4,R&D,280,167242387.8
2012,Other Agencies,02:26.4,PAMS,16424,533768244.3
2013,DHS,02:26.4,ICT,1104,393529041.3
2005,Other Agencies,02:26.4,MED,51,2012579.56
2000,Other Agencies,02:26.4,Products,36,4735500
2001,DHS,02:26.4,ICT,215,40463000
2001,Other Agencies,02:26.4,NULL,1,0
2006,Other Agencies,02:26.4,ICT,141,23217232.29
2014,Defense,02:26.4,Fuel,470,26473351.81
2013,State and IAP,02:26.4,PAMS,459,45125393.04
2014,Defense,02:26.4,PAMS,17627,4434766091
2006,Other Agencies,02:26.4,ICT,103,18819164.09
2014,Other Agencies,02:26.4,Fuel,278,8254729.89
2001,Other Agencies,02:26.4,ERS,15,2171696
2001,Other Agencies,02:26.4,Products,2,98000
2008,Other Agencies,02:26.4,R&D,2,1538960.21
2011,Other Agencies,02:26.4,R&D,1,51600
2005,Other Agencies,02:26.4,Fuel,45,2709756.92
2004,Other Agencies,02:26.4,FRS&C,18,41357.25
2006,Other Agencies,02:26.4,FRS&C,2943,758768074.8
2003,DHS,02:26.4,Fuel,12,541500
2013,Other Agencies,02:26.4,Products,86,1290777.97
2008,Other Agencies,02:26.4,ICT,66,4526521.17
1995,Defense,02:26.4,ICT,4514,1506932648
2004,State and IAP,02:26.4,PAMS,15,4447667.57
2010,Other Agencies,02:26.4,MED,16579,1139719744
1993,Defense,02:26.4,PAMS,NULL,3557647002
2006,Other Agencies,02:26.4,FRS&C,24,97025.74
2012,GSA,02:26.4,ERS,11210,266296166.4
2003,Defense,02:26.4,ICT,61,24178749
2013,Other Agencies,02:26.4,Products,593,63043189.92
2002,Other Agencies,02:26.4,ICT,934,481032568.9
2001,Other Agencies,02:26.4,ICT,26,6505000
2007,Other Agencies,02:26.4,Fuel,258,3274268.2
2012,Other Agencies,02:26.4,ERS,7,40078
2002,Defense,02:26.4,MED,9,1450335
2008,Other Agencies,02:26.4,MED,8,13166.42
2010,Other Agencies,02:26.4,R&D,3,24983.49
2012,DHS,02:26.4,Fuel,20,90585.21
2013,Other Agencies,02:26.4,FRS&C,42,780514.5
2009,State and IAP,02:26.4,ERS,151,86310867.02
2011,Other Agencies,02:26.4,ERS,26,332431
2006,Other Agencies,02:26.4,ICT,87,59852153.6
2007,Other Agencies,02:26.4,PAMS,251,12883078.25
2010,Other Agencies,02:26.4,Products,23578,3231263012
2010,Defense,02:26.4,ERS,10,1399.56
2006,Other Agencies,02:26.4,MED,413,16374926
2012,Other Agencies,02:26.4,ICT,2848,584586946.2
2003,Other Agencies,02:26.4,R&D,104,13566967.38
2009,Defense,02:26.4,FRS&C,35274,9703570125
2012,Energy,02:26.4,NULL,9,-5191.72
2014,Defense,02:26.4,ERS,39,50299085.61
2004,Defense,02:26.4,Fuel,750,12594603
2006,Other Agencies,02:26.4,ERS,844,13112185.69
2000,NASA,02:26.4,ERS,300,147241449.4
2014,Other Agencies,02:26.4,FRS&C,138,2895779.69
2010,Other Agencies,02:26.4,Products,98,2162574.12
2002,Defense,02:26.4,PAMS,12895,7132011565
2013,DHS,02:26.4,PAMS,5696,798128203.7
2012,NASA,02:26.4,Fuel,345,13196810.48
2002,Other Agencies,02:26.4,R&D,722,732814900.8
2001,Other Agencies,02:26.4,NULL,1,800
2005,Other Agencies,02:26.4,PAMS,678,51135191.56
2012,DHS,02:26.4,ERS,975,125005990.9
2002,DHS,02:26.4,ERS,15,283096.58
2005,State and IAP,02:26.4,R&D,1,2599.35
2010,Other Agencies,02:26.4,FRS&C,66,3117798.63
2012,Other Agencies,02:26.4,Products,8961,486269190.5
2002,Other Agencies,02:26.4,FRS&C,2,2796000
2014,Other Agencies,02:26.4,MED,89,130055.08
1990,Defense,02:26.4,FRS&C,NULL,26408000
2006,Other Agencies,02:26.4,MED,11,33185
2011,Defense,02:26.4,NULL,5,-14505.73
2013,Defense,02:26.4,R&D,4644,1572164505
2014,DHS,02:26.4,Products,2555,215637815.9
2014,State and IAP,02:26.4,FRS&C,16,31116631.36
2003,GSA,02:26.4,R&D,37,2254504.32
1994,Defense,02:26.4,MED,554,166833916
2006,Other Agencies,02:26.4,Products,56,950374.69
2005,Other Agencies,02:26.4,Fuel,240,2266579.7
1998,Defense,02:26.4,Products,7,895768
1999,Defense,02:26.4,R&D,1147,677546441
2013,State and IAP,02:26.4,FRS&C,1,-474.63
2010,Other Agencies,02:26.4,ERS,53,149891.64
2008,Other Agencies,02:26.4,ICT,8955,829988992.7
2012,Other Agencies,02:26.4,MED,5,62238.03
2010,State and IAP,02:26.4,R&D,1508,48095279.99
2014,DHS,02:26.4,Fuel,276,2230585.02
2010,Other Agencies,02:26.4,FRS&C,2,28192
1999,Defense,02:26.4,ERS,187,204871918
2005,Defense,02:26.4,PAMS,57239,18389588962
2006,Defense,02:26.4,ERS,3080,175383416.1
1996,Defense,02:26.4,R&D,335,299956885
2013,Defense,02:26.4,Fuel,3700,13750942138
2006,State and IAP,02:26.4,MED,3,38580
2006,DHS,02:26.4,Products,2858,123892165.1
2001,Other Agencies,02:26.4,R&D,295,82120934
2002,Other Agencies,02:26.4,Products,5,256000
2003,Defense,02:26.4,Fuel,51,7106275
2010,Other Agencies,02:26.4,ERS,89,2499735.76
2012,Defense,02:26.4,Products,165692,41200499985
2009,DHS,02:26.4,ERS,5714,218228823.4
2012,Other Agencies,02:26.4,PAMS,79,2929016.07
2001,Other Agencies,02:26.4,Products,131,22669743.7
2009,Other Agencies,02:26.4,Products,39,625767.29
2011,Other Agencies,02:26.4,Products,471,38693481.28
2013,Defense,02:26.4,R&D,28,20329280.25
2004,DHS,02:26.4,NULL,1,23282
2005,NASA,02:26.4,Fuel,177,32041048.73
2005,Other Agencies,02:26.4,ERS,41,2180297.15
2001,Other Agencies,02:26.4,PAMS,69,5865000
2007,DHS,02:26.4,ERS,601,28589841.07
2003,Other Agencies,02:26.4,R&D,1,26
2010,DHS,02:26.4,MED,134,12108948.18
2012,State and IAP,02:26.4,R&D,39,273758.47
2005,State and IAP,02:26.4,FRS&C,5372,1981605332
2009,Other Agencies,02:26.4,PAMS,130,12260034.77
2003,Other Agencies,02:26.4,ERS,9,73580
2000,Defense,02:26.4,ICT,580,238303128
2003,DHS,02:26.4,MED,69,8436117.4
2006,HHS,02:26.4,PAMS,19163,3171556462
2006,Other Agencies,02:26.4,ERS,4,16248
1992,Defense,02:26.4,Products,19,20820164174
2002,Other Agencies,02:26.4,ICT,104,25159000
1989,Defense,02:26.4,ERS,NULL,498591000
1991,Defense,02:26.4,ERS,NULL,2594081000
2012,Defense,02:26.4,Products,21729,2635096752
2009,Other Agencies,02:26.4,R&D,1378,18489323.1
2002,State and IAP,02:26.4,PAMS,88,11512307
2001,Other Agencies,02:26.4,MED,14,1454000
2003,Other Agencies,02:26.4,NULL,3,0
2005,Other Agencies,02:26.4,MED,3,7500
2010,DHS,02:26.4,PAMS,2394,1151366341
2000,Other Agencies,02:26.4,ERS,14,1070000
2001,Other Agencies,02:26.4,ICT,124,22205000
2005,Other Agencies,02:26.4,NULL,23,964948.37
1990,Defense,02:26.4,MED,NULL,28508000
2006,Other Agencies,02:26.4,R&D,20,3529072.79
2007,GSA,02:26.4,R&D,373,34587382.19
2003,Other Agencies,02:26.4,ICT,41,14589633.52
2009,Other Agencies,02:26.4,FRS&C,93,17960712.89
2007,Other Agencies,02:26.4,R&D,2,18000
2009,State and IAP,02:26.4,FRS&C,2,13150
2005,Other Agencies,02:26.4,NULL,1312,4847518.35
2007,DHS,02:26.4,PAMS,978,786398097
2014,Other Agencies,02:26.4,R&D,1612,735808549.4
1989,Defense,02:26.4,Products,NULL,310973946
2009,Other Agencies,02:26.4,FRS&C,12,2747414
2014,Other Agencies,02:26.4,ERS,91,1859941.71
2006,Other Agencies,02:26.4,ICT,9,127140.09
2004,Other Agencies,02:26.4,NULL,1,48
2014,State and IAP,02:26.4,NULL,3,-26776.34
2013,DHS,02:26.4,ICT,776,625947615.9
2014,Other Agencies,02:26.4,ICT,18,728897.77
2009,State and IAP,02:26.4,ERS,3182,464549833
2012,Other Agencies,02:26.4,FRS&C,16620,959927273.1
2013,Other Agencies,02:26.4,R&D,6,96727.76
2009,Other Agencies,02:26.4,MED,22,693122.19
2009,Other Agencies,02:26.4,NULL,28,142003.46
1990,Defense,02:26.4,FRS&C,NULL,3968229000
2013,Other Agencies,02:26.4,Fuel,11,301173.73
2010,Defense,02:26.4,ERS,30663,5368452652
2005,Other Agencies,02:26.4,Products,49,1746528.92
2013,Other Agencies,02:26.4,Fuel,88,912048.29
2007,Defense,02:26.4,Fuel,197,10059694.63
2012,Other Agencies,02:26.4,ICT,6751,834486660.5
1993,Defense,02:26.4,Products,NULL,1156462477
2000,Other Agencies,02:26.4,ERS,23,1845000
2001,State and IAP,02:26.4,FRS&C,1199,547156263.6
2005,Other Agencies,02:26.4,R&D,1222,273763324
2010,Other Agencies,02:26.4,MED,3,23552.4
2013,Defense,02:26.4,MED,38,2910703.158
2005,Other Agencies,02:26.4,ICT,91,26665094.59
2007,Other Agencies,02:26.4,FRS&C,18,2070242.65
2007,Other Agencies,02:26.4,PAMS,3380,927841457.5
2010,Other Agencies,02:26.4,ERS,9,232697.4
2001,Other Agencies,02:26.4,Products,13,875000
2007,DHS,02:26.4,ERS,1097,38835218.03
2002,Other Agencies,02:26.4,PAMS,5,55306.24
2000,GSA,02:26.4,Products,24267,2530209150
2005,DHS,02:26.4,PAMS,855,681911019.2
2006,Defense,02:26.4,Products,117,278295809
2007,Other Agencies,02:26.4,ERS,51,597641.68
2000,Other Agencies,02:26.4,NULL,1,374.66
2004,State and IAP,02:26.4,PAMS,379,27253610.05
2010,Other Agencies,02:26.4,FRS&C,26,1420735.22
2000,Defense,02:26.4,FRS&C,1,49921
2004,Defense,02:26.4,Products,48600,25653117426
2002,Other Agencies,02:26.4,Products,169,21207000
2014,Other Agencies,02:26.4,PAMS,21,1103172.88
1990,Defense,02:26.4,FRS&C,NULL,103698000
2003,DHS,02:26.4,Products,652,93220164
2002,Other Agencies,02:26.4,ICT,134,32373908
2013,Other Agencies,02:26.4,FRS&C,11083,457613552.1
1995,Defense,02:26.4,ERS,42,5075093
2003,Other Agencies,02:26.4,PAMS,2794,260168232
2004,Other Agencies,02:26.4,PAMS,84,12161807.74
2010,Other Agencies,02:26.4,MED,5,580545
2003,Other Agencies,02:26.4,NULL,3,0
2013,NASA,02:26.4,FRS&C,2275,1164417139
2008,Defense,02:26.4,ERS,26,799695.06
2011,Other Agencies,02:26.4,R&D,24,2484915.59
2011,NASA,02:26.4,FRS&C,2584,1050591387
2007,Other Agencies,02:26.4,PAMS,11,351326
2005,Other Agencies,02:26.4,ERS,61,280003.4
2004,Other Agencies,02:26.4,ERS,106,758870.76
2000,Other Agencies,02:26.4,Products,58,7255450.12
2014,Other Agencies,02:26.4,PAMS,2262,305936039.1
2011,Other Agencies,02:26.4,R&D,2,6954
2008,Defense,02:26.4,NULL,22,761828.98
2002,Other Agencies,02:26.4,FRS&C,46,391985000
2012,Other Agencies,02:26.4,R&D,22,8602073.84
2005,Other Agencies,02:26.4,NULL,328,1456181.73
2004,Other Agencies,02:26.4,MED,102,4125588.42
2002,State and IAP,02:26.4,ERS,303,27965956.8
2009,State and IAP,02:26.4,R&D,1100,59609321.1
2004,Other Agencies,02:26.4,Products,13,340125.39
2010,Energy,02:26.4,NULL,23,145164.47
1991,Defense,02:26.4,ICT,NULL,995664000
2011,Other Agencies,02:26.4,MED,27,94338.7
2001,Other Agencies,02:26.4,PAMS,196,30866415
2004,Other Agencies,02:26.4,ICT,6,320514.77
2011,DHS,02:26.4,ERS,1040,18620473.91
2012,Other Agencies,02:26.4,FRS&C,24,1022577.7
2000,Other Agencies,02:26.4,PAMS,5189,538704450.8
2011,State and IAP,02:26.4,R&D,10,303847
2002,Other Agencies,02:26.4,FRS&C,7,361000
2006,Other Agencies,02:26.4,R&D,1429,71002785.93
2012,Other Agencies,02:26.4,Fuel,33,3010370.16
2014,Defense,02:26.4,Products,437,1815392266
2010,Other Agencies,02:26.4,Fuel,240,3529469.36
2014,GSA,02:26.4,ICT,3000,1802567259
2009,Other Agencies,02:26.4,ERS,21,221980.12
2007,Other Agencies,02:26.4,PAMS,17,236192.96
2010,Other Agencies,02:26.4,Products,333,11776994.05
2005,Defense,02:26.4,NULL,45,2925495
2001,Other Agencies,02:26.4,ERS,2,136000
2002,Defense,02:26.4,MED,8,505656
2005,Other Agencies,02:26.4,Products,24,158993.98
2007,Defense,02:26.4,R&D,19451,10081177418
2010,Defense,02:26.4,Fuel,574,19250801.39
2007,Other Agencies,02:26.4,PAMS,153,4385457.97
2004,State and IAP,02:26.4,ERS,19,27794259.22
2014,Other Agencies,02:26.4,Products,195,13319893.69
2007,DHS,02:26.4,PAMS,2192,368418307.4
2002,Other Agencies,02:26.4,ICT,74,19970000
2013,Defense,02:26.4,FRS&C,1166,287678443.8
1998,Defense,02:26.4,ERS,6845,4386694615
2008,Other Agencies,02:26.4,ERS,18,139427.39
2013,Other Agencies,02:26.4,Fuel,73,3561625.147
2003,Other Agencies,02:26.4,FRS&C,833,154976603
2008,Other Agencies,02:26.4,ERS,42,1278810.16
2009,Other Agencies,02:26.4,ICT,555,90344038.3
2003,Other Agencies,02:26.4,FRS&C,51,10392068.31
2011,Other Agencies,02:26.4,ICT,31,613203
2014,Other Agencies,02:26.4,ICT,546,131940675.7
2008,Other Agencies,02:26.4,FRS&C,17037,1023305909
2010,Other Agencies,02:26.4,ERS,32,346047.76
2011,Other Agencies,02:26.4,Products,2,12373.09
2013,DHS,02:26.4,R&D,28,125045884.7
2012,Other Agencies,02:26.4,PAMS,NULL,0
2006,DHS,02:26.4,Products,2797,557327265.2
2008,State and IAP,02:26.4,NULL,10,111303
2011,Other Agencies,02:26.4,NULL,2,21000
2007,Other Agencies,02:26.4,NULL,748,920902.74
1998,Defense,02:26.4,ICT,4944,1106987676
1999,Defense,02:26.4,MED,174,25910886
2006,GSA,02:26.4,FRS&C,122932,6816222227
2008,Other Agencies,02:26.4,Products,35,532104
2000,Other Agencies,02:26.4,ICT,79,11725000
2012,Other Agencies,02:26.4,PAMS,348,37517417.22
2013,NASA,02:26.4,MED,100,27347760.45
2014,Other Agencies,02:26.4,PAMS,57,1153383
2002,Other Agencies,02:26.4,FRS&C,1094,213044482.3
2009,DHS,02:26.4,ICT,942,932843852.2
2007,Other Agencies,02:26.4,ERS,93,1801034.51
2013,Other Agencies,02:26.4,Products,115,4380599.89
2010,State and IAP,02:26.4,R&D,2,303179
2010,Other Agencies,02:26.4,Products,13651,3803886176
2012,Other Agencies,02:26.4,MED,43,605180.95
2007,Other Agencies,02:26.4,Products,29,328262
2001,Defense,02:26.4,NULL,1,0
2006,Other Agencies,02:26.4,Products,7741,546681566.3
2003,Other Agencies,02:26.4,PAMS,66,10251647
2003,State and IAP,02:26.4,Products,36,26268789.36
2011,Defense,02:26.4,Fuel,485,25602610.49
2007,Other Agencies,02:26.4,ERS,2067,54577496.21
2008,DHS,02:26.4,PAMS,2967,1084139905
2008,Energy,02:26.4,MED,122,28598298.73
2010,Other Agencies,02:26.4,NULL,371,1085415.67
1998,Defense,02:26.4,Products,21460,16723412952
2003,Other Agencies,02:26.4,NULL,NULL,434971
2006,Other Agencies,02:26.4,NULL,540,703420.49
2012,Other Agencies,02:26.4,ERS,1,4119.5
2010,Other Agencies,02:26.4,Products,29,687456.96
2011,Other Agencies,02:26.4,MED,17646,1519880407
2003,Other Agencies,02:26.4,MED,2,33250
2010,Other Agencies,02:26.4,ICT,606,112975361.2
2004,GSA,02:26.4,ICT,16978,4468415351
2011,Defense,02:26.4,MED,5494,556895049.5
2008,Other Agencies,02:26.4,FRS&C,42,1544131.27
2009,DHS,02:26.4,Products,18202,1072108889
2003,Other Agencies,02:26.4,MED,182,5139636.4
2012,DHS,02:26.4,FRS&C,4357,453581402.1
2005,Other Agencies,02:26.4,MED,9583,914143233.3
2007,Other Agencies,02:26.4,PAMS,246,12125012.52
2008,Other Agencies,02:26.4,ICT,100,4397207.62
2003,State and IAP,02:26.4,FRS&C,1,105000
2006,Other Agencies,02:26.4,ICT,12,245471.2
2014,Other Agencies,02:26.4,FRS&C,21862,967298005.8
2005,DHS,02:26.4,ICT,356,171944491.6
2006,Other Agencies,02:26.4,Products,352,14996144.87
2011,Other Agencies,02:26.4,ERS,42,1816576.04
1992,Defense,02:26.4,MED,NULL,319314905
2010,Other Agencies,02:26.4,ICT,28,1010260.49
2013,Other Agencies,02:26.4,Products,332,15063786.87
2008,Other Agencies,02:26.4,Products,620,28667619.29
2007,Other Agencies,02:26.4,PAMS,7528,531589045
2004,Other Agencies,02:26.4,NULL,21,911185.74
2004,Defense,02:26.4,ERS,8,1927662
2003,Other Agencies,02:26.4,ERS,805,69777779.08
2007,Other Agencies,02:26.4,NULL,325,537602
2011,State and IAP,02:26.4,Fuel,1613,47469475.32
2013,Other Agencies,02:26.4,Fuel,445,9224839.83
2011,Other Agencies,02:26.4,Products,12269,4975902558
2005,Other Agencies,02:26.4,ICT,66,6246836.35
1997,Defense,02:26.4,FRS&C,10330,3624202347
2004,Other Agencies,02:26.4,Products,560,20503529.16
2010,DHS,02:26.4,NULL,127,-35266.87
2011,Other Agencies,02:26.4,Products,21713,3127208978
2007,Other Agencies,02:26.4,PAMS,19,172153.7
2002,Other Agencies,02:26.4,NULL,8,550933
2003,Other Agencies,02:26.4,Products,12,840119
1992,Defense,02:26.4,MED,NULL,424769
2009,Other Agencies,02:26.4,R&D,158,35954301.79
2012,DHS,02:26.4,Fuel,13,103705.52
2012,Other Agencies,02:26.4,ICT,40,953584.75
2000,Other Agencies,02:26.4,Products,40,2534000
2011,NASA,02:26.4,MED,174,44861510.65
2013,Other Agencies,02:26.4,ERS,222944,571269788.8
2007,DHS,02:26.4,PAMS,3242,980081872.4
2003,Defense,02:26.4,ICT,10,267806
1989,Defense,02:26.4,R&D,NULL,59954000
2007,DHS,02:26.4,ICT,460,249748044.8
2007,DHS,02:26.4,Fuel,4,51472.75
2010,Other Agencies,02:26.4,Products,517,23769623.62
2001,Other Agencies,02:26.4,R&D,9,1934500
2011,Other Agencies,02:26.4,FRS&C,132,24182890.35
2004,Other Agencies,02:26.4,Products,10011,389896599
2014,DHS,02:26.4,MED,44,4171878.1
2005,Other Agencies,02:26.4,ERS,574,6881674
2008,Other Agencies,02:26.4,NULL,2,39571.2
1995,Defense,02:26.4,ICT,7,592440
2007,DHS,02:26.4,ICT,740,853029579.7
2011,Defense,02:26.4,NULL,3,-90926.1
2008,Other Agencies,02:26.4,FRS&C,3,42910.2
2005,Energy,02:26.4,MED,71,21913070.71
2013,Other Agencies,02:26.4,Products,2686,145851375.7
2002,Other Agencies,02:26.4,ERS,6,757000
2004,Other Agencies,02:26.4,ERS,14,665190.46
2009,HHS,02:26.4,PAMS,23130,4533074330
2012,Other Agencies,02:26.4,ERS,13,830787.73
2014,State and IAP,02:26.4,PAMS,152,16965325.64
2005,GSA,02:26.4,PAMS,12320,1446821664
2011,Defense,02:26.4,PAMS,1506,284920774
2007,State and IAP,02:26.4,ICT,17,986330.27
2013,Other Agencies,02:26.4,Products,11537,4738176039
2011,Other Agencies,02:26.4,Products,897,58238104.09
2008,Defense,02:26.4,MED,904,9161969197
2011,Other Agencies,02:26.4,Products,4012,218623211.1
1995,Defense,02:26.4,Products,19880,2938385993
2009,Other Agencies,02:26.4,MED,3,21700
2014,Other Agencies,02:26.4,ICT,284,41521638.65
2000,Other Agencies,02:26.4,Products,8,694000
2008,Defense,02:26.4,Fuel,577,21215768.99
2009,Other Agencies,02:26.4,NULL,7,16142
2006,Other Agencies,02:26.4,NULL,328,3405688.02
2009,DHS,02:26.4,Fuel,17,357693.83
2014,Defense,02:26.4,ERS,17701,4181163717
2007,Defense,02:26.4,ERS,37680,7114979409
2013,DHS,02:26.4,NULL,55,-65390.68
2014,GSA,02:26.4,Fuel,167,4273838.41
2006,Other Agencies,02:26.4,PAMS,32298,929010099.6
2003,DHS,02:26.4,Fuel,4,41226
2010,Defense,02:26.4,NULL,2,0
2014,Defense,02:26.4,R&D,13175,8652650987
2000,Other Agencies,02:26.4,ICT,9,734000
2001,DHS,02:26.4,ICT,3,312000
2005,DHS,02:26.4,Fuel,30,396915.29
2013,DHS,02:26.4,R&D,563,243989685
2001,Other Agencies,02:26.4,ERS,400,31626060.75
2006,Other Agencies,02:26.4,NULL,358,6206216.67
2009,Other Agencies,02:26.4,Products,89,2039482.05
2000,Other Agencies,02:26.4,PAMS,1881,145868359.3
2005,Other Agencies,02:26.4,ICT,2089,131134362
2010,Other Agencies,02:26.4,R&D,2,6567
2003,Other Agencies,02:26.4,ICT,143,23973157.98
2013,Other Agencies,02:26.4,PAMS,218,4045194.69
2013,Other Agencies,02:26.4,PAMS,37,1448182.39
2009,Other Agencies,02:26.4,ICT,4942,1135682343
2008,Other Agencies,02:26.4,FRS&C,1034,810491128.9
2004,Other Agencies,02:26.4,PAMS,36,167514.98
2005,Other Agencies,02:26.4,Products,48924,1395994762
2011,Other Agencies,02:26.4,PAMS,190,7391108.14
2008,State and IAP,02:26.4,ERS,2584,484664031.8
2000,Other Agencies,02:26.4,FRS&C,5879,765660238.8
2003,NASA,02:26.4,ERS,182,285477591.6
2014,Other Agencies,02:26.4,FRS&C,46,4062352.89
1995,Defense,02:26.4,Fuel,959,3436753302
2012,Other Agencies,02:26.4,R&D,12,1858778.3
2012,NASA,02:26.4,FRS&C,2431,1173825112
2012,Other Agencies,02:26.4,PAMS,36168,2195673828
2012,Defense,02:26.4,PAMS,53804,12306587052
2012,Other Agencies,02:26.4,Products,682,44239997.02
2001,Other Agencies,02:26.4,ERS,19,1503000
2006,DHS,02:26.4,PAMS,804,712528348
2006,DHS,02:26.4,ERS,554,11427224.95
2009,Defense,02:26.4,ERS,15071,7287880560
2012,Other Agencies,02:26.4,MED,21,1552117.7
2007,Defense,02:26.4,Products,251,418631872.7
2003,State and IAP,02:26.4,PAMS,297,22372180
2009,Other Agencies,02:26.4,ICT,104,15333670.89
2004,Other Agencies,02:26.4,ICT,3,1757434
2012,Other Agencies,02:26.4,ICT,1616,616403202.6
2006,Other Agencies,02:26.4,PAMS,17,1535576.51
2007,Other Agencies,02:26.4,ERS,33,895306.36
2002,Defense,02:26.4,FRS&C,14141,3456837880
2004,Other Agencies,02:26.4,ICT,116,2105543.23
2011,Other Agencies,02:26.4,Products,499,17676196.32
2004,DHS,02:26.4,Products,658,72772038.39
2007,Defense,02:26.4,Fuel,6,57134
2006,Other Agencies,02:26.4,Products,72,2006123.85
2000,Other Agencies,02:26.4,Fuel,42,4586000
2008,DHS,02:26.4,PAMS,1056,807934874.2
2008,Other Agencies,02:26.4,R&D,2,19000
2008,State and IAP,02:26.4,Fuel,955,51487710.94
2012,Defense,02:26.4,MED,30,2067599.07
2000,Other Agencies,02:26.4,NULL,9,1415084.8
2007,Other Agencies,02:26.4,FRS&C,3,35878.74
2001,Other Agencies,02:26.4,ERS,29,3863138.21
2004,Defense,02:26.4,ERS,1,8400
2014,Other Agencies,02:26.4,Products,2337,125614572.1
2014,Other Agencies,02:26.4,NULL,2,-804.39
1996,Defense,02:26.4,ICT,2,348205
2002,Other Agencies,02:26.4,ERS,1,28000
2008,Other Agencies,02:26.4,R&D,2,209983
2009,Defense,02:26.4,Products,467130,17970153672
2001,Other Agencies,02:26.4,Products,5648,1249393582
2002,Other Agencies,02:26.4,ICT,2819,1387039825
2013,State and IAP,02:26.4,NULL,7,-79625.1
2013,Other Agencies,02:26.4,ICT,303,34993331.78
2008,Other Agencies,02:26.4,MED,11,793729.04
2010,Defense,02:26.4,Fuel,3371,12045792813
2012,DHS,02:26.4,ICT,680,666271736.2
2005,Other Agencies,02:26.4,Products,169,10131036.56
2013,Other Agencies,02:26.4,ICT,5,152681.35
2002,Other Agencies,02:26.4,Fuel,33,2678000
1998,Defense,02:26.4,ICT,439,106609647
2011,Other Agencies,02:26.4,ICT,189,81436295.97
2013,Other Agencies,02:26.4,ERS,99,164036.7774
