fiscal_year,Query_Run,SubCustomer,ServicesCategory,SumOfobligatedAmount,SumOfnumberOfActions
2003,04:31.0,DLA,R&D,117590324,308
2012,04:31.0,DLA,Products,20259046513,518342
2002,04:31.0,Air Force,FRS&C,3456837880,14141
2008,04:31.0,Air Force,Fuel,24739841.7,209
2008,04:31.0,DLA,Fuel,14303368190,3983
2011,04:31.0,Navy,ICT,5598804211,38439
2001,04:31.0,Air Force,FRS&C,3141785682,13980
2011,04:31.0,Other DoD,Products,2372731946,20748
1992,04:31.0,Air Force,ERS,2229015154,NULL
2006,04:31.0,Navy,NULL,6847111.09,280
1997,04:31.0,Army,MED,567278432,1267
2002,04:31.0,Army,R&D,6158393083,11270
2004,04:31.0,Army,FRS&C,17217805236,84404
2005,04:31.0,Army,PAMS,18389588962,57239
2004,04:31.0,Navy,Products,27951740362,61355
2005,04:31.0,Navy,Products,28270819317,142714
1994,04:31.0,Air Force,MED,81524506,395
2008,04:31.0,Other DoD,FRS&C,361192179.3,1153
2000,04:31.0,Army,NULL,4767532.12,114
1993,04:31.0,DLA,Fuel,4435096715,NULL
2005,04:31.0,Air Force,Fuel,7473327,170
1996,04:31.0,Army,ERS,877689565,3345
2012,04:31.0,Army,Products,41200499985,165692
2000,04:31.0,MDA,PAMS,750332,8
2011,04:31.0,Other DoD,ERS,5093479285,11104214
2014,04:31.0,MDA,PAMS,449447372.8,1028
2009,04:31.0,Other DoD,FRS&C,411707002.5,1163
2000,04:31.0,Air Force,R&D,7499144524,6107
1994,04:31.0,DLA,Products,1972471116,16725
1995,04:31.0,DLA,Products,2938385993,19880
1997,04:31.0,MDA,R&D,387225520,330
2002,04:31.0,DLA,R&D,133141069,453
2009,04:31.0,MDA,ERS,-21582.96,26
2012,04:31.0,Navy,PAMS,12306587052,53804
2003,04:31.0,Other DoD,PAMS,1540228475,3112
2001,04:31.0,DLA,PAMS,235466649,805
2008,04:31.0,MDA,ERS,799695.06,26
1994,04:31.0,Army,Products,4430628513,13246
2008,04:31.0,Army,Fuel,56522906.42,1819
2004,04:31.0,DLA,FRS&C,413421164.4,1490
1993,04:31.0,Navy,PAMS,5421209547,414
2002,04:31.0,DLA,PAMS,255462818.5,941
2005,04:31.0,DLA,FRS&C,633021579.4,14328
1993,04:31.0,Army,Fuel,7559859,NULL
2000,04:31.0,DLA,NULL,0,NULL
2009,04:31.0,Air Force,Products,25439768823,94359
1998,04:31.0,MilitaryHealth,PAMS,22836724,26
NULL,04:31.0,Air Force,NULL,259871,1
1995,04:31.0,Navy,R&D,5854364416,8361
2006,04:31.0,MDA,FRS&C,184713159.5,211
1996,04:31.0,DLA,ERS,5068058,43
2000,04:31.0,Navy,Fuel,5385205,78
2007,04:31.0,MilitaryHealth,ERS,848859.39,44
1994,04:31.0,Army,Fuel,1947141,50
2001,04:31.0,Army,PAMS,5617912676,20887
1997,04:31.0,MilitaryHealth,FRS&C,117972,1
2014,04:31.0,Army,ERS,4645613908,19123
1999,04:31.0,Army,ICT,1582940309,5300
1996,04:31.0,Air Force,PAMS,4197315806,9760
2005,04:31.0,Air Force,ICT,2718892593,9478
2003,04:31.0,Army,MED,924050477.9,3952
2005,04:31.0,Army,R&D,8079410723,12332
2006,04:31.0,Navy,Fuel,24612788.53,524
1998,04:31.0,Air Force,Products,13432861955,20689
2001,04:31.0,MDA,Products,618627,7
1996,04:31.0,MilitaryHealth,MED,1386279949,310
1992,04:31.0,Army,ICT,948506502,NULL
