"Fiscal.Year","Pricing.Mechanism","ProductOrServiceArea","SubCustomer","Query_Run","Action.Obligation","SumOfnumberOfActions","SubCustomer.sum","SubCustomer.detail","SubCustomer.component","Subcustomer.Obsolete","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","Pricing.Mechanism.Code","Pricing.Mechanism.detail","Pricing.Mechanism.sum","Pricing.Mechanism.hypothesis","Pricing.Mechanism.Incentive","Pricing.Mechanism.Correlation","IsCostBased","IsFixedPrice","IsIncentive","Deflator.2013","Deflator.2012","Deflator.2011","Deflator.2005","Deflator.2014","Obligation.2013","Obligation.2014","LogOfAction.Obligation"
2012-09-30,"Cost Plus Incentive","ERS","Air Force","08:22.5",645667682.2,68,"Air Force","Air Force","Air Force",FALSE,"ERS","Services (Non-R&D)","Services (Non-R&D)","Other Services","V","Cost (Plus Incentive)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,0.658686955262112,0.664882794974771,8.81000904907664
2012-09-30,"Fixed Price Award Fee","FRS&C","Air Force","08:22.5",48853912.62,74,"Air Force","Air Force","Air Force",FALSE,"FRS&C","Services (Non-R&D)","Services (Non-R&D)","FRS&C","M","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",0,"Fixed Price",0,0.980234506,1,1.023166361,1.1704,0.9711,0.0498390051778079,0.0503078082792709,7.68889935129389
2012-09-30,"Fixed Price with Economic Price Adjustment","FRS&C","Air Force","08:22.5",131873342,203,"Air Force","Air Force","Air Force",FALSE,"FRS&C","Services (Non-R&D)","Services (Non-R&D)","FRS&C","K","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.980234506,1,1.023166361,1.1704,0.9711,0.134532442178688,0.135797901348986,8.12015701243492
2012-09-30,"Fixed Price with Economic Price Adjustment","Fuels","Air Force","08:22.5",0,NA,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels","Fuels","K","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.980234506,1,1.023166361,1.1704,0.9711,0,0,0
2012-09-30,"Firm Fixed Price","Ground Vehicles","Air Force","08:22.5",68054401.04,808,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Ground Vehicles","Ground Vehicles","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,0.0694266531359997,0.0700797045000515,7.83285621602844
2012-09-30,"Cost Plus Incentive","Launchers & Munitions","Air Force","08:22.5",11949,1,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Launchers & Munitions","Other Platform/Weap.","V","Cost (Plus Incentive)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,1.21899401896795e-05,1.23046030274946e-05,4.07733156112899
2012-09-30,"Firm Fixed Price","Launchers & Munitions","Air Force","08:22.5",703406698.5,602,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Launchers & Munitions","Other Platform/Weap.","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,0.717590223762231,0.724340128205128,8.84720649976104
2012-09-30,"Firm Fixed Price","MED","Air Force","08:22.5",346110687.2,4590,"Air Force","Air Force","Air Force",FALSE,"MED","Services (Non-R&D)","Services (Non-R&D)","Other Services","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,0.353089679134393,0.356410964061374,8.53921500963891
2012-09-30,"Cost Plus Incentive","Missiles & Space","Air Force","08:22.5",1510442039,94,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Missiles & Space","Other Platform/Weap.","V","Cost (Plus Incentive)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,1.54089866226358,1.55539289362579,9.17910406451467
2012-09-30,"Firm Fixed Price","Missiles & Space","Air Force","08:22.5",2992030669,667,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Missiles & Space","Other Platform/Weap.","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,3.0523621140511,3.08107369889816,9.4759660408332
